command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra.label270,ra.label270_short,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,text,text,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,rad/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
0,0,-.52342,0,8765.532555842,.264926669,8765.532555842,1,1,true,2,2,13570.856017029,-2.367377999,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,.264926669,8765.532555842,1,true,2,2,13570.856017029,-2.367377999,8250,0,0,0,3,25,0,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.008327228,1,none,0,0,0,0,-.52342,0,0,157.53739542,-622.259150472,-6245.461654878,8765.532555842,.264926669,0,0,0,0,-6245.461654878,-622.259150472,8765.532555842,41.249354682,152.041184204,0
0,0,-3.469017192,0,8765.532555842,.258012991,8765.532555842,1,1,true,2,2,13351.227447171,-2.368061442,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,.258012991,8765.532555842,1,true,2,2,13351.227447171,-2.368061442,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.015751165,1,none,0,1,0,0,-3.469017192,0,1,157.53739542,-470.118889287,-6204.58053648,8765.532555842,.258012991,0,-.044434497,0,1,-6204.58053648,-470.118889287,8765.532555842,40.197213505,152.322732979,0
0,0,-3.469017192,0,8765.532555842,.213907619,8765.532555842,1,1,true,2,2,13130.301470515,-2.331670014,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,.213907619,8765.532555842,1,true,2,2,13130.301470515,-2.331670014,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.013981277,1,none,0,2,0,0,-3.469017192,0,2,157.53739542,-317.214773241,-6166.709205692,8765.532555842,.213907619,0,-.286516417,0,2,-6166.709205692,-317.214773241,8765.532555842,33.442049374,153.946939851,0
0,0,-3.469017192,0,8765.532555842,.153435,8765.532555842,1,1,true,2,2,12903.959454368,-2.279267818,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,.153435,8765.532555842,1,true,2,2,12903.959454368,-2.279267818,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.020516172,1,none,0,3,0,0,-3.469017192,0,3,157.53739542,-162.438953183,-6137.46902919,8765.532555842,.153435,0,-.287979475,0,3,-6137.46902919,-162.438953183,8765.532555842,24.07701868,155.686634388,0
0,0,-3.469017192,0,8765.532555842,.092889432,8765.532555842,1,1,true,2,2,12671.482361355,-2.227178417,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,.092889432,8765.532555842,1,true,2,2,12671.482361355,-2.227178417,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.023066679,1,none,0,4,0,0,-3.469017192,0,4,157.53739542,-6.177822844,-6117.645170099,8765.532555842,.092889432,0,-.287983559,0,4,-6117.645170099,-6.177822844,8765.532555842,14.612524108,156.858232474,0
0,0,-3.469017192,0,8765.532555842,.032343661,8765.532555842,1,1,true,2,2,12432.655987421,-2.175473148,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,.032343661,8765.532555842,1,true,2,2,12432.655987421,-2.175473148,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.024721771,1,none,0,5,0,0,-3.469017192,0,5,157.53739542,150.99650175,-6107.312799266,8765.532555842,.032343661,0,-.287983571,0,5,-6107.312799266,150.99650175,8765.532555842,5.094447738,157.455001692,0
0,0,-3.469017192,0,8765.532555842,-.028202111,8765.532555842,1,1,true,2,2,12187.28834494,-2.124151629,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,-.028202111,8765.532555842,1,true,2,2,12187.28834494,-2.124151629,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.025990901,1,none,0,6,0,0,-3.469017192,0,6,157.53739542,308.508029495,-6106.509788548,8765.532555842,-.028202111,0,-.287983571,0,6,-6106.509788548,308.508029495,8765.532555842,-4.442298196,157.474750174,0
0,0,-3.469017192,0,8765.532555842,-.088747883,8765.532555842,1,1,true,2,2,11935.208134096,-2.073213698,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,-.088747883,8765.532555842,1,true,2,2,11935.208134096,-2.073213698,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.027178571,1,none,0,7,0,0,-3.469017192,0,7,157.53739542,465.779532497,-6115.239080735,8765.532555842,-.088747883,0,-.287983571,0,7,-6115.239080735,465.779532497,8765.532555842,-13.962764569,156.91740554,0
0,0,-3.469017192,0,8765.532555842,-.149293655,8765.532555842,1,1,true,2,2,11676.264759214,-2.022659701,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,-.149293655,8765.532555842,1,true,2,2,11676.264759214,-2.022659701,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.029675449,1,none,0,8,0,0,-3.469017192,0,8,157.53739542,622.234662474,-6133.468685844,8765.532555842,-.149293655,0,-.287983571,0,8,-6133.468685844,622.234662474,8765.532555842,-23.432062007,155.785010273,0
0,0,-1.917565477,0,8765.532555842,-.209839426,8765.532555842,1,1,true,2,2,11410.328269778,-1.972490658,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,-.209839426,8765.532555842,1,true,2,2,11410.328269778,-1.972490658,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.036551012,1,none,0,9,0,0,-1.917565477,0,9,157.53739542,777.300062883,-6161.131798375,8765.532555842,-.209839426,0,-.287983571,0,9,-6161.131798375,777.300062883,8765.532555842,-32.815488652,154.081714231,0
0,0,-1.917565477,0,8765.532555842,-.24965252,8765.532555842,1,1,true,2,2,11138.358766349,-1.943403045,8257.271555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8765.532555842,-.24965252,8765.532555842,1,true,2,2,11138.358766349,-1.943403045,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.06273472,1,none,0,10,0,0,-1.917565477,0,10,157.53739542,930.687161348,-6197.010076776,8765.532555842,-.24965252,0,-.162834211,0,10,-6197.010076776,930.687161348,8765.532555842,-38.922333641,152.653473264,0
