command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra.label270,ra.label270_short,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,text,text,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,rad/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
0,0,-3.29501,0,2495.541015955,.046104007,2495.541015955,2,1,true,1,1,14599.552096456,-1.543016417,2647.295015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,2495.541015955,.046104007,2495.541015955,2,true,1,1,14599.552096456,-1.543016417,2650,0,0,0,3,25,4,0,0,0,0,0,0,false,false,false,false,-9999,9999,3,0,1,0,0,0,100.010796634,1,none,0,0,0,0,-3.29501,0,0,161.57798862,-1077.632750192,-823.201222355,2495.541015955,.046104007,0,0,0,0,-823.201222355,-1077.632750192,2495.541015955,7.446753897,161.406295611,0
0,0,-3.29501,0,2495.541015955,.008768538,2495.541015955,2,1,true,1,1,14622.309074546,-1.490488362,2647.295015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,2495.541015955,.008768538,2495.541015955,2,true,1,1,14622.309074546,-1.490488362,2650,0,0,0,3,25,4,0,0,0,0,0,0,false,false,false,false,-9999,9999,3,0,1,0,0,0,100.000037515,1,none,0,1,0,0,-3.29501,0,1,161.57798862,-916.16120545,-817.608486217,2495.541015955,.008768538,0,-.27844125,0,1,-817.608486217,-916.16120545,2495.541015955,1.416784537,161.571777016,0
0,0,-2.822877933,0,2495.541015955,-.048615562,2495.541015955,2,1,true,1,1,14635.348047353,-1.41787615,2647.295015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,2495.541015955,-.048615562,2495.541015955,2,true,1,1,14635.348047353,-1.41787615,2650,0,0,0,3,25,4,0,0,0,0,0,0,false,false,false,false,-9999,9999,3,0,1,0,0,0,99.999938457,1,none,0,2,0,0,-2.822877933,0,2,161.57798862,-754.628556108,-820.357097543,2495.541015955,-.048615562,0,-.280934732,0,2,-820.357097543,-754.628556108,2495.541015955,-7.852110755,161.387083632,0
0,0,-.422717423,0,2495.541015955,-.099804697,2495.541015955,2,1,true,1,1,14635.194935232,-1.351340674,2647.295015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,2495.541015955,-.099804697,2495.541015955,2,true,1,1,14635.194935232,-1.351340674,2650,0,0,0,3,25,4,0,0,0,0,0,0,false,false,false,false,-9999,9999,3,0,1,0,0,0,99.999969877,1,none,0,3,0,0,-.422717423,0,3,161.57798862,-593.489571493,-832.021886779,2495.541015955,-.099804697,0,-.242522302,0,3,-832.021886779,-593.489571493,2495.541015955,-16.09948339,160.773919032,0
0,0,-.422717423,0,2495.541015955,-.119423367,2495.541015955,2,1,true,1,1,14617.758320745,-1.316201468,2647.295015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,2495.541015955,-.119423367,2495.541015955,2,true,1,1,14617.758320745,-1.316201468,2650,0,0,0,3,25,4,0,0,0,0,0,0,false,false,false,false,-9999,9999,3,0,1,0,0,0,100.000049724,1,none,0,4,0,0,-.422717423,0,4,161.57798862,-432.929721569,-850.107651606,2495.541015955,-.119423367,0,-.038699896,0,4,-850.107651606,-432.929721569,2495.541015955,-19.250353208,160.427149535,0
0,0,-.422717423,0,2495.541015955,-.126885423,2495.541015955,2,1,true,1,1,14585.67172277,-1.293090891,2647.295015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,2495.541015955,-.126885423,2495.541015955,2,true,1,1,14585.67172277,-1.293090891,2650,0,0,0,3,25,4,0,0,0,0,0,0,false,false,false,false,-9999,9999,3,0,1,0,0,0,100.000144235,1,none,0,5,0,0,-.422717423,0,5,161.57798862,-272.568994948,-869.900681237,2495.541015955,-.126885423,0,-.037014988,0,5,-869.900681237,-272.568994948,2495.541015955,-20.446922564,160.279037195,0
0,0,-.422717423,0,2495.541015955,-.134263751,2495.541015955,2,1,true,1,1,14536.891002172,-1.269943816,2647.295015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,2495.541015955,-.134263751,2495.541015955,2,true,1,1,14536.891002172,-1.269943816,2650,0,0,0,3,25,4,0,0,0,0,0,0,false,false,false,false,-9999,9999,3,0,1,0,0,0,100.000274284,1,none,0,6,0,0,-.422717423,0,6,161.57798862,-112.359093017,-890.879634389,2495.541015955,-.134263751,0,-.03700465,0,6,-890.879634389,-112.359093017,2495.541015955,-21.628946541,160.123811715,0
0,0,-.422717423,0,2495.541015955,-.141641565,2495.541015955,2,1,true,1,1,14463.013501017,-1.246707955,2647.295015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,2495.541015955,-.141641565,2495.541015955,2,true,1,1,14463.013501017,-1.246707955,2650,0,0,0,3,25,4,0,0,0,0,0,0,false,false,false,false,-9999,9999,3,0,1,0,0,0,100.000535756,1,none,0,7,0,0,-.422717423,0,7,161.57798862,47.691668504,-913.040024815,2495.541015955,-.141641565,0,-.037004586,0,7,-913.040024815,47.691668504,2495.541015955,-22.809710873,159.959880896,0
0,0,-.422717423,0,2495.541015955,-.149019375,2495.541015955,2,1,true,1,1,14362.962688254,-1.223439333,2647.295015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,2495.541015955,-.149019375,2495.541015955,2,true,1,1,14362.962688254,-1.223439333,2650,0,0,0,3,25,4,0,0,0,0,0,0,false,false,false,false,-9999,9999,3,0,1,0,0,0,100.001031347,1,none,0,8,0,0,-.422717423,0,8,161.57798862,207.574580392,-936.380625781,2495.541015955,-.149019375,0,-.037004586,0,8,-936.380625781,207.574580392,2495.541015955,-23.989233125,159.787243235,0
0,0,-.422717423,0,2495.541015955,-.156397186,2495.541015955,2,1,true,1,1,14236.931819641,-1.200195819,2647.295015955,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,2495.541015955,-.156397186,2495.541015955,2,true,1,1,14236.931819641,-1.200195819,2650,0,0,0,3,25,4,0,0,0,0,0,0,false,false,false,false,-9999,9999,3,0,1,0,0,0,100.001849789,1,none,0,9,0,0,-.422717423,0,9,161.57798862,367.280939943,-960.900166691,2495.541015955,-.156397186,0,-.037004586,0,9,-960.900166691,367.280939943,2495.541015955,-25.167449596,159.605908059,0
